zip,po_name,state,zip_type,zcta
00501,Holtsville,NY,Post Office or large volume customer,11742
00544,Holtsville,NY,Post Office or large volume customer,11742
00601,Adjuntas,PR,ZIP Code area,00601
00602,Aguada,PR,ZIP Code area,00602
00603,Aguadilla,PR,ZIP Code area,00603
00604,Aguadilla,PR,Post Office or large volume customer,00603
00605,Aguadilla,PR,Post Office or large volume customer,00603
00606,Maricao,PR,ZIP Code area,00606
00610,Anasco,PR,ZIP Code area,00610
00611,Angeles,PR,Post Office or large volume customer,00641
00612,Arecibo,PR,ZIP Code area,00612
00613,Arecibo,PR,Post Office or large volume customer,00612
00614,Arecibo,PR,Post Office or large volume customer,00612
00616,Bajadero,PR,ZIP Code area,00616
00617,Barceloneta,PR,ZIP Code area,00617
00622,Boqueron,PR,ZIP Code area,00622
00623,Cabo Rojo,PR,ZIP Code area,00623
00624,Penuelas,PR,ZIP Code area,00624
00627,Camuy,PR,ZIP Code area,00627
00631,Castaner,PR,Post Office or large volume customer,00631
00636,Rosario,PR,Post Office or large volume customer,00680
00637,Sabana Grande,PR,ZIP Code area,00637
00638,Ciales,PR,ZIP Code area,00638
00641,Utuado,PR,ZIP Code area,00641
00646,Dorado,PR,ZIP Code area,00646
00647,Ensenada,PR,ZIP Code area,00647
00650,Florida,PR,ZIP Code area,00650
00652,Garrochales,PR,ZIP Code area,00652
00653,Guanica,PR,ZIP Code area,00653
00656,Guayanilla,PR,ZIP Code area,00656
00659,Hatillo,PR,ZIP Code area,00659
00660,Hormigueros,PR,ZIP Code area,00660
00662,Isabela,PR,ZIP Code area,00662
00664,Jayuya,PR,ZIP Code area,00664
00667,Lajas,PR,ZIP Code area,00667
00669,Lares,PR,ZIP Code area,00669
00670,Las Marias,PR,ZIP Code area,00670
00674,Manati,PR,ZIP Code area,00674
00676,Moca,PR,ZIP Code area,00676
00677,Rincon,PR,ZIP Code area,00677
00678,Quebradillas,PR,ZIP Code area,00678
00680,Mayaguez,PR,ZIP Code area,00680
00681,Mayaguez,PR,Post Office or large volume customer,00680
00682,Mayaguez,PR,ZIP Code area,00682
00683,San German,PR,ZIP Code area,00683
00685,San Sebastian,PR,ZIP Code area,00685
00687,Morovis,PR,ZIP Code area,00687
00688,Sabana Hoyos,PR,ZIP Code area,00688
00690,San Antonio,PR,ZIP Code area,00690
00692,Vega Alta,PR,ZIP Code area,00692
00693,Vega Baja,PR,ZIP Code area,00693
00694,Vega Baja,PR,Post Office or large volume customer,00694
00698,Yauco,PR,ZIP Code area,00698
00703,Aguas Buenas,PR,ZIP Code area,00703
00704,Aguirre,PR,ZIP Code area,00704
00705,Aibonito,PR,ZIP Code area,00705
00707,Maunabo,PR,ZIP Code area,00707
00714,Arroyo,PR,ZIP Code area,00714
00715,Mercedita,PR,ZIP Code area,00715
00716,Ponce,PR,ZIP Code area,00716
00717,Ponce,PR,ZIP Code area,00717
00718,Naguabo,PR,ZIP Code area,00718
00719,Naranjito,PR,ZIP Code area,00719
00720,Orocovis,PR,ZIP Code area,00720
00721,Palmer,PR,Post Office or large volume customer,00745
00723,Patillas,PR,ZIP Code area,00723
00725,Caguas,PR,ZIP Code area,00725
00726,Caguas,PR,Post Office or large volume customer,00725
00727,Caguas,PR,ZIP Code area,00727
00728,Ponce,PR,ZIP Code area,00728
00729,Canovanas,PR,ZIP Code area,00729
00730,Ponce,PR,ZIP Code area,00730
00731,Ponce,PR,ZIP Code area,00731
00732,Ponce,PR,Post Office or large volume customer,00731
00733,Ponce,PR,Post Office or large volume customer,00730
00734,Ponce,PR,Post Office or large volume customer,00716
00735,Ceiba,PR,ZIP Code area,00735
00736,Cayey,PR,ZIP Code area,00736
00737,Cayey,PR,Post Office or large volume customer,00736
00738,Fajardo,PR,ZIP Code area,00738
00739,Cidra,PR,ZIP Code area,00739
00740,Puerto Real,PR,ZIP Code area,00740
00741,Punta Santiago,PR,ZIP Code area,00741
00742,Roosevelt Roads,PR,Post Office or large volume customer,00735
00744,Rio Blanco,PR,Post Office or large volume customer,00718
00745,Rio Grande,PR,ZIP Code area,00745
00751,Salinas,PR,ZIP Code area,00751
00754,San Lorenzo,PR,ZIP Code area,00754
00757,Santa Isabel,PR,ZIP Code area,00757
00765,Vieques,PR,ZIP Code area,00765
00766,Villalba,PR,ZIP Code area,00766
00767,Yabucoa,PR,ZIP Code area,00767
00769,Coamo,PR,ZIP Code area,00769
00771,Las Piedras,PR,ZIP Code area,00771
00772,Loiza,PR,ZIP Code area,00772
00773,Luquillo,PR,ZIP Code area,00773
00775,Culebra,PR,Post Office or large volume customer,00775
00777,Juncos,PR,ZIP Code area,00777
00778,Gurabo,PR,ZIP Code area,00778
00780,Coto Laurel,PR,ZIP Code area,00780
00782,Comerio,PR,ZIP Code area,00782
00783,Corozal,PR,ZIP Code area,00783
00784,Guayama,PR,ZIP Code area,00784
00785,Guayama,PR,Post Office or large volume customer,00784
00786,La Plata,PR,Post Office or large volume customer,00786
00791,Humacao,PR,ZIP Code area,00791
00792,Humacao,PR,Post Office or large volume customer,00791
00794,Barranquitas,PR,ZIP Code area,00794
00795,Juana Diaz,PR,ZIP Code area,00795
00801,St Thomas,VI,Post Office or large volume customer,NA
00802,St Thomas,VI,ZIP Code area,NA
00803,St Thomas,VI,Post Office or large volume customer,NA
00804,St Thomas,VI,Post Office or large volume customer,NA
00805,St Thomas,VI,Post Office or large volume customer,NA
00820,Christiansted,VI,ZIP Code area,NA
00821,Christiansted,VI,Post Office or large volume customer,NA
00822,Christiansted,VI,Post Office or large volume customer,NA
00823,Christiansted,VI,Post Office or large volume customer,NA
00824,Christiansted,VI,Post Office or large volume customer,NA
00830,St John,VI,ZIP Code area,NA
00831,St John,VI,Post Office or large volume customer,NA
00840,Frederiksted,VI,ZIP Code area,NA
00841,Frederiksted,VI,Post Office or large volume customer,NA
00850,Kingshill,VI,ZIP Code area,NA
00851,Kingshill,VI,Post Office or large volume customer,NA
00901,San Juan,PR,ZIP Code area,00901
00902,San Juan,PR,Post Office or large volume customer,00907
00906,San Juan,PR,Post Office or large volume customer,00906
