zip,reportingyear,ziptype,cityname,statename,stateabbr,enc_zip,zcta_use
00501,2015,Post Office or large volume customer,Holtsville,NA,NY,11742,11742
00544,2015,Post Office or large volume customer,Holtsville,NA,NY,11742,11742
00601,2015,ZIP Code Area,Adjuntas,NA,PR,00601,00601
00602,2015,ZIP Code Area,Aguada,NA,PR,00602,00602
00603,2015,ZIP Code Area,Aguadilla,NA,PR,00603,00603
00604,2015,Post Office or large volume customer,Aguadilla,NA,PR,00603,00603
00605,2015,Post Office or large volume customer,Aguadilla,NA,PR,00603,00603
00606,2015,ZIP Code Area,Maricao,NA,PR,00606,00606
00610,2015,ZIP Code Area,Anasco,NA,PR,00610,00610
00611,2015,Post Office or large volume customer,Angeles,NA,PR,00641,00641
00612,2015,ZIP Code Area,Arecibo,NA,PR,00612,00612
00613,2015,Post Office or large volume customer,Arecibo,NA,PR,00612,00612
00614,2015,Post Office or large volume customer,Arecibo,NA,PR,00612,00612
00616,2015,Post Office or large volume customer,Bajadero,NA,PR,00612,00616
00617,2015,ZIP Code Area,Barceloneta,NA,PR,00617,00617
00622,2015,Post Office or large volume customer,Boqueron,NA,PR,00623,00622
00623,2015,ZIP Code Area,Cabo Rojo,NA,PR,00623,00623
00624,2015,ZIP Code Area,Penuelas,NA,PR,00624,00624
00627,2015,ZIP Code Area,Camuy,NA,PR,00627,00627
00631,2015,ZIP Code Area,Castaner,NA,PR,00631,00631
00636,2015,Post Office or large volume customer,Rosario,NA,PR,00680,00680
00637,2015,ZIP Code Area,Sabana Grande,NA,PR,00637,00637
00638,2015,ZIP Code Area,Ciales,NA,PR,00638,00638
00641,2015,ZIP Code Area,Utuado,NA,PR,00641,00641
00646,2015,ZIP Code Area,Dorado,NA,PR,00646,00646
00647,2015,ZIP Code Area,Ensenada,NA,PR,00647,00647
00650,2015,ZIP Code Area,Florida,NA,PR,00650,00650
00652,2015,Post Office or large volume customer,Garrochales,NA,PR,00612,00652
00653,2015,ZIP Code Area,Guanica,NA,PR,00653,00653
00656,2015,ZIP Code Area,Guayanilla,NA,PR,00656,00656
00659,2015,ZIP Code Area,Hatillo,NA,PR,00659,00659
00660,2015,ZIP Code Area,Hormigueros,NA,PR,00660,00660
00662,2015,ZIP Code Area,Isabela,NA,PR,00662,00662
00664,2015,ZIP Code Area,Jayuya,NA,PR,00664,00664
00667,2015,ZIP Code Area,Lajas,NA,PR,00667,00667
00669,2015,ZIP Code Area,Lares,NA,PR,00669,00669
00670,2015,ZIP Code Area,Las Marias,NA,PR,00670,00670
00674,2015,ZIP Code Area,Manati,NA,PR,00674,00674
00676,2015,ZIP Code Area,Moca,NA,PR,00676,00676
00677,2015,ZIP Code Area,Rincon,NA,PR,00677,00677
